x,y
0,12
0,13
0,15
0,16
0,17
0,19
0,21
0,23
0,24
0,26
0,29
0,31
1,12
1,13
1,15
1,16
1,17
1,19
1,21
1,23
1,24
1,26
1,29
1,31
3,2
3,3
3,4
3,8
3,9
3,10
3,12
3,13
3,15
3,16
3,17
3,19
3,24
3,25
3,26
3,28
3,29
3,31
4,31
5,6
5,7
5,15
5,19
5,21
5,22
5,24
5,28
5,29
5,31
6,6
6,7
6,15
6,19
6,21
6,22
6,24
6,28
6,29
6,31
8,6
8,7
8,8
8,9
8,10
8,12
8,13
8,15
8,16
8,17
8,19
8,21
8,22
8,24
8,25
8,26
8,28
8,29
8,31
9,6
9,7
9,8
9,9
9,10
9,12
9,13
9,19
9,21
9,22
9,24
9,25
9,26
9,28
9,29
9,31
10,6
10,7
10,8
10,9
10,10
10,12
10,13
10,19
10,21
10,22
10,24
10,25
10,26
10,28
10,29
10,31
11,2
11,3
11,4
11,6
11,7
11,8
11,9
11,10
11,12
11,13
11,15
11,16
11,17
11,19
11,21
11,22
11,24
11,25
11,26
11,28
11,29
11,31
12,2
12,3
12,4
12,6
12,7
12,8
12,9
12,10
12,12
12,13
12,15
12,16
12,17
12,19
12,21
12,22
12,24
12,25
12,26
12,28
12,29
12,31
13,2
13,3
13,4
13,6
13,7
13,8
13,9
13,10
13,19
13,21
13,22
13,24
13,25
13,26
13,28
13,29
13,31
14,2
14,3
14,4
14,6
14,7
14,8
14,9
14,10
14,19
14,21
14,22
14,24
14,25
14,26
14,28
14,29
15,2
15,3
15,4
15,6
15,7
15,8
15,9
15,10
15,12
15,13
15,15
15,16
15,17
15,19
15,21
15,22
15,24
15,25
15,26
15,28
15,29
16,2
16,3
16,4
16,6
16,7
16,8
16,9
16,10
16,12
16,13
16,15
16,16
16,17
16,19
16,21
16,22
16,24
16,25
16,26
16,28
16,29
18,12
18,13
19,2
19,3
19,4
19,6
19,7
19,8
19,9
19,10
19,12
19,13
19,15
19,16
19,17
19,19
19,21
19,22
19,23
19,24
19,25
19,26
19,28
19,29
19,31
20,2
20,3
20,4
20,6
20,7
20,8
20,9
20,10
20,12
20,13
20,15
20,16
20,17
20,19
20,21
20,22
20,23
20,24
20,25
20,26
20,28
20,29
20,31
21,2
21,3
21,4
21,12
21,13
21,21
21,22
21,23
21,24
21,25
21,26
21,28
21,29
21,31
22,2
22,3
22,4
22,12
22,13
22,21
22,22
22,23
22,24
22,25
22,26
22,28
22,29
22,31
23,2
23,3
23,4
23,12
23,13
23,21
23,22
23,23
23,24
23,25
23,26
23,28
23,29
23,31
24,2
24,3
24,4
24,6
24,7
24,8
24,9
24,10
24,12
24,13
24,21
24,22
24,23
24,24
24,25
24,26
24,28
24,29
24,31
25,2
25,3
25,4
25,6
25,7
25,8
25,9
25,10
25,12
25,13
25,15
25,16
25,17
25,19
25,21
25,22
25,23
25,24
25,25
25,26
25,28
25,29
25,31
26,2
26,3
26,4
26,6
26,7
26,8
26,9
26,10
26,12
26,13
26,15
26,16
26,17
26,19
26,21
26,22
26,23
26,24
26,25
26,26
26,28
26,29
26,31
28,12
28,13
28,15
28,16
28,17
28,19
28,26
28,28
28,29
28,31
29,19
29,26
29,28
29,29
29,31
30,19
30,26
30,28
30,29
30,31
