x,y
1,0
3,0
5,0
6,0
8,0
9,0
10,0
11,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
26,0
28,0
30,0
1,2
3,2
5,2
6,2
8,2
9,2
10,2
11,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
26,2
28,2
30,2
1,3
3,3
5,3
6,3
8,3
9,3
10,3
11,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
26,3
28,3
30,3
1,4
3,4
5,4
6,4
8,4
9,4
10,4
11,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
26,4
28,4
30,4
1,5
3,5
5,5
6,5
8,5
9,5
10,5
11,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
26,5
28,5
30,5
1,6
3,6
5,6
6,6
8,6
9,6
10,6
11,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
26,6
28,6
30,6
1,8
3,8
5,8
6,8
8,8
9,8
10,8
11,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
26,8
28,8
30,8
1,9
3,9
5,9
6,9
8,9
9,9
10,9
11,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
26,9
28,9
30,9
1,10
3,10
5,10
6,10
8,10
9,10
10,10
11,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
26,10
28,10
30,10
1,11
3,11
5,11
6,11
8,11
9,11
10,11
11,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
26,11
28,11
30,11
1,12
3,12
5,12
6,12
8,12
9,12
10,12
11,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
26,12
28,12
30,12
1,13
3,13
5,13
6,13
8,13
9,13
10,13
11,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
26,13
28,13
30,13
